Name;Este;Norte
San Salvador II;-79,7670929;-6,751556456
San Salvador II;-79,76753641;-6,751410255
San Salvador II;-79,77379455;-6,749334342
San Salvador II;-79,77551343;-6,748762872
San Salvador II;-79,77596212;-6,748602491
San Salvador II;-79,77748812;-6,748057018
San Salvador II;-79,77978381;-6,747236406
San Salvador II;-79,78041128;-6,747014822
San Salvador II;-79,7804408;-6,747001249
San Salvador II;-79,78049082;-6,746978255
San Salvador II;-79,78057637;-6,746952246
San Salvador II;-79,78078879;-6,746906044
San Salvador II;-79,7848098;-6,746355149
San Salvador II;-79,78071088;-6,743746547
San Salvador II;-79,78051361;-6,743837167
San Salvador II;-79,78001665;-6,743829489
San Salvador II;-79,77992801;-6,743829032
San Salvador II;-79,77914147;-6,743818105
San Salvador II;-79,77787709;-6,743811186
San Salvador II;-79,77708461;-6,743450504
San Salvador II;-79,77608468;-6,743658891
San Salvador II;-79,77377743;-6,744318068
San Salvador II;-79,77183089;-6,7448379
San Salvador II;-79,77172545;-6,744575839
San Salvador II;-79,77165381;-6,744395977
San Salvador II;-79,77154686;-6,74411637
San Salvador II;-79,77159399;-6,744093336
San Salvador II;-79,77168019;-6,744053898
San Salvador II;-79,77262865;-6,743677876
San Salvador II;-79,77252574;-6,743199327
San Salvador II;-79,77156447;-6,743349122
San Salvador II;-79,77142602;-6,742893547
San Salvador II;-79,77062379;-6,74302376
San Salvador II;-79,77055963;-6,742826036
San Salvador II;-79,76943256;-6,743010219
