Textbox72,Textbox36,Textbox7,UTC_DateTime,EventName,Textbox3,Textbox5,Altitude,Address2
Unit: ACZ-912,Level (Gals),Change,5/09/2025 21:36,Fuel Dropping,"72,25","52,77","-19,48","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 06:33,Fuel Dropping,"61,11","51,56","-9,56","Av Elmer Faucett, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 08:08,Fuel Raising,"49,86","146,53","96,67","Av Elmer Faucett, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 08:12,Fuel Dropping,"146,53","51,27","-95,26","Punta Pescadores, , Peru Callao Callao 07046"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 08:21,Fuel Raising,"48,93","146,41","97,49","Av Nestor Gambetta, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 08:24,Fuel Dropping,"146,41","99,04","-47,38","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 08:27,Fuel Dropping,"99,04","48,37","-50,66","Av Nestor Gambetta-66, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 08:36,Fuel Raising,"53,13","72,35","19,22","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 08:39,Fuel Dropping,"72,35","52,66","-19,69","Av Chota, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 08:42,Fuel Raising,"52,66","72,71","20,05","Av Republica Argentina-79, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 08:48,Fuel Dropping,"70,06","55,83","-14,23","Clhuascar-22, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 08:51,Fuel Raising,"55,83","151,48","95,65","Clhuascar-22, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 08:57,Fuel Dropping,"151,38","56,38","-95,00","Clhuascar-22, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 09:08,Fuel Raising,"54,11","151,32","97,20","Plaza Garibaldi-66, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 09:11,Fuel Dropping,"151,32","64,90","-86,41","Av Atalaya, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 09:14,Fuel Dropping,"64,90","55,01","-9,89","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 09:17,Fuel Raising,"55,01","149,98","94,96","Av Atalaya, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 09:41,Fuel Dropping,"151,27","129,23","-22,04","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 09:44,Fuel Raising,"129,23","142,64","13,41","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 09:50,Fuel Dropping,"136,24","58,05","-78,19","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 10:36,Fuel Raising,"56,36","112,14","55,77","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 10:39,Fuel Raising,"112,14","151,29","39,15","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 10:42,Fuel Dropping,"151,29","56,63","-94,66","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 10:45,Fuel Raising,"56,63","151,34","94,71","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 11:56,Fuel Dropping,"151,41","87,12","-64,30","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 11:59,Fuel Raising,"87,12","151,65","64,53","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 12:45,Fuel Dropping,"151,36","56,36","-95,00","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 12:48,Fuel Raising,"56,36","81,38","25,01","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 12:51,Fuel Dropping,"81,38","56,36","-25,01","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 12:54,Fuel Raising,"56,36","60,95","4,59","Av Atalaya, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 13:05,Fuel Dropping,"67,90","56,24","-11,66","Clhuascar-59, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 13:11,Fuel Raising,"56,46","151,19","94,73","Clhuascar-59, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 13:23,Fuel Dropping,"151,19","65,46","-85,74","Clhuascar-59, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 13:29,Fuel Raising,"65,46","151,96","86,51","Plaza Garibaldi-60, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 13:50,Fuel Dropping,"151,19","56,10","-95,10","Clhuascar-66, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:03,Fuel Raising,"56,07","150,81","94,74","Clhuascar-73, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:08,Fuel Dropping,"150,81","85,44","-65,37","Av Republica Argentina-40, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:11,Fuel Dropping,"85,44","54,30","-31,14","Av Republica Argentina-78, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:14,Fuel Raising,"54,30","64,53","10,23","Av Nestor Gambetta-58, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:20,Fuel Dropping,"70,90","55,07","-15,83","Av Nestor Gambetta-91, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:23,Fuel Raising,"55,07","75,35","20,28","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:29,Fuel Dropping,"76,02","54,76","-21,26","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:32,Fuel Raising,"54,76","64,08","9,32","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:35,Fuel Raising,"64,08","149,40","85,32","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:46,Fuel Dropping,"150,17","106,34","-43,82","Av Centenario-75, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:49,Fuel Dropping,"106,34","62,82","-43,52","Av Centenario-87, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 14:52,Fuel Dropping,"62,82","54,40","-8,43","Av Centenario-86, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 15:10,Fuel Raising,"54,40","85,30","30,90","Av Centenario-87, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 15:13,Fuel Dropping,"85,30","54,40","-30,90","Av Centenario-86, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 15:40,Fuel Raising,"54,35","65,08","10,74","Av Centenario-64, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 15:43,Fuel Raising,"65,08","148,45","83,36","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,6/09/2025 15:46,Fuel Dropping,"148,45","69,58","-78,87","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 04:47,Fuel Dropping,"76,65","55,17","-21,48","Av Nestor Gambetta-44, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 04:50,Fuel Raising,"55,17","82,48","27,31","Av Emisor, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 05:11,Fuel Raising,"77,09","149,93","72,84","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 05:21,Fuel Dropping,"149,90","57,25","-92,65","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 05:24,Fuel Raising,"57,25","70,40","13,16","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 05:29,Fuel Raising,"70,40","90,01","19,61","Av Centenario-80, Callao, Callao, Callao, Perú"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 05:32,Fuel Dropping,"90,01","58,16","-31,85","Av Centenario-84, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 05:35,Fuel Raising,"58,16","117,11","58,95","Centenario, , Peru Callao Callao 07046"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 05:38,Fuel Dropping,"117,11","94,63","-22,48","Av Centenario-81, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 05:41,Fuel Dropping,"94,63","53,73","-40,90","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 05:47,Fuel Raising,"54,11","148,97","94,86","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 05:53,Fuel Dropping,"148,97","67,28","-81,69","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 06:02,Fuel Raising,"64,31","148,64","84,33","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 06:17,Fuel Dropping,"148,68","68,64","-80,05","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 06:20,Fuel Raising,"68,64","148,68","80,05","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 06:23,Fuel Dropping,"148,68","53,68","-95,00","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 06:32,Fuel Raising,"53,68","67,09","13,40","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 06:35,Fuel Raising,"67,09","94,98","27,89","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 06:38,Fuel Dropping,"94,98","85,28","-9,70","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 06:41,Fuel Raising,"85,28","102,96","17,68","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 06:44,Fuel Dropping,"102,96","93,01","-9,95","Av Nestor Gambetta, lao, lao, lao Cal"
Unit: ACZ-912,Level (Gals),Change,8/09/2025 06:50,Fuel Raising,"92,20","119,02","26,82","Av Nestor Gambetta, lao, lao, lao Cal"
