"Unit","Driver","Event","Lat / Long","Date / Time","Speed","Address"
"PM-03","","Driving","-12.034923 / -77.110199","Monday, September 29 2025, 04:08:27 am","20 KPH","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Driving","-12.032142 / -77.111519","Monday, September 29 2025, 04:07:20 am","15 KPH","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Driving","-12.032463 / -77.112610","Monday, September 29 2025, 04:06:24 am","20 KPH","Av. Sta. Rosa, Callao 07031, Peru"
"PM-03","","Driving","-12.027910 / -77.114906","Monday, September 29 2025, 04:04:38 am","15 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.028456 / -77.116562","Monday, September 29 2025, 04:03:54 am","12 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 107, Callao 07031, Peru"
"PM-03","","Driving","-12.029160 / -77.117798","Monday, September 29 2025, 04:03:23 am","15 KPH","Pje. San Jose 118, Callao 07031, Peru"
"PM-03","","Driving","-12.029203 / -77.118034","Monday, September 29 2025, 04:03:16 am","10 KPH","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Driving","-12.029217 / -77.118080","Monday, September 29 2025, 04:03:13 am","12 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Travel Start","-12.029664 / -77.119057","Monday, September 29 2025, 04:02:45 am","10 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029734 / -77.119087","Monday, September 29 2025, 03:58:57 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029734 / -77.119087","Monday, September 29 2025, 03:58:54 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029845 / -77.119034","Monday, September 29 2025, 03:46:26 am","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029845 / -77.119034","Sunday, September 28 2025, 07:58:44 pm","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.029845 / -77.119034","Sunday, September 28 2025, 07:58:43 pm","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Driving","-12.030023 / -77.119308","Sunday, September 28 2025, 07:56:41 pm","10 KPH","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Driving","-12.029223 / -77.117538","Sunday, September 28 2025, 07:55:49 pm","12 KPH","Pje. San Jose 118, Callao 07031, Peru"
"PM-03","","Driving","-12.029074 / -77.117424","Sunday, September 28 2025, 07:55:40 pm","10 KPH","Pje. San Jose 118, Callao 07031, Peru"
"PM-03","","Driving","-12.029017 / -77.117317","Sunday, September 28 2025, 07:55:35 pm","12 KPH","Pje. San Jose 118, Callao 07031, Peru"
"PM-03","","Driving","-12.028872 / -77.116898","Sunday, September 28 2025, 07:55:23 pm","10 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Travel Start","-12.026670 / -77.117485","Sunday, September 28 2025, 07:54:25 pm","10 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition On","-12.026592 / -77.117401","Sunday, September 28 2025, 07:53:18 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.026592 / -77.117401","Sunday, September 28 2025, 07:47:24 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition On","-12.026825 / -77.117401","Sunday, September 28 2025, 07:38:10 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.026825 / -77.117401","Sunday, September 28 2025, 07:38:09 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition On","-12.026825 / -77.117401","Sunday, September 28 2025, 07:36:25 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.026825 / -77.117401","Sunday, September 28 2025, 07:21:47 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition On","-12.026535 / -77.117752","Sunday, September 28 2025, 07:19:16 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Tow","-12.026535 / -77.117752","Sunday, September 28 2025, 06:11:23 pm","17 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.026487 / -77.117798","Sunday, September 28 2025, 05:08:57 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Driving","-12.026379 / -77.117813","Sunday, September 28 2025, 05:08:37 pm","10 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Travel Start","-12.027940 / -77.116936","Sunday, September 28 2025, 05:07:35 pm","18 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Driving","-12.028488 / -77.116600","Sunday, September 28 2025, 05:07:21 pm","13 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 107, Callao 07031, Peru"
"PM-03","","Driving","-12.028375 / -77.115921","Sunday, September 28 2025, 05:06:57 pm","12 KPH","XVHM+J2, Callao 07031, Peru"
"PM-03","","Travel Start","-12.028850 / -77.117180","Sunday, September 28 2025, 05:06:08 pm","17 KPH","Pje. San Jose 118, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029847 / -77.119011","Sunday, September 28 2025, 05:02:20 pm","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029847 / -77.119011","Sunday, September 28 2025, 05:02:19 pm","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.029847 / -77.119011","Sunday, September 28 2025, 05:02:18 pm","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029847 / -77.119011","Sunday, September 28 2025, 05:02:07 pm","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029847 / -77.119011","Saturday, September 27 2025, 07:54:47 pm","","XV9M+MJH, Callao 07031, Peru"
"PM-03","","Travel Start","-12.028998 / -77.116989","Saturday, September 27 2025, 07:53:34 pm","15 KPH","Pje. San Jose 118, Callao 07031, Peru"
"PM-03","","Ignition On","-12.027246 / -77.117073","Saturday, September 27 2025, 07:52:32 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.027246 / -77.117073","Saturday, September 27 2025, 07:46:59 pm","7 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition On","-12.027507 / -77.117203","Saturday, September 27 2025, 07:34:23 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.027507 / -77.117203","Saturday, September 27 2025, 07:19:42 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.027507 / -77.117203","Saturday, September 27 2025, 07:19:42 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.027507 / -77.117203","Saturday, September 27 2025, 07:19:42 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.027507 / -77.117203","Saturday, September 27 2025, 07:19:41 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Travel Start","-12.027487 / -77.117241","Saturday, September 27 2025, 07:17:56 pm","10 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition On","-12.027108 / -77.117523","Saturday, September 27 2025, 07:16:51 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.027108 / -77.117523","Saturday, September 27 2025, 05:00:36 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.027108 / -77.117523","Saturday, September 27 2025, 05:00:35 pm","","Nuevo Aeropuerto Internacional, Jorge Chávez 170, Callao 07031, Peru"
"PM-03","","Driving","-12.028448 / -77.116608","Saturday, September 27 2025, 04:59:02 pm","12 KPH","Nuevo Aeropuerto Internacional, Jorge Chávez 107, Callao 07031, Peru"
"PM-03","","Travel Start","-12.028384 / -77.115921","Saturday, September 27 2025, 04:58:39 pm","10 KPH","XVHM+J2, Callao 07031, Peru"
"PM-03","","Driving","-12.028425 / -77.116005","Saturday, September 27 2025, 04:58:33 pm","12 KPH","XVHM+J2, Callao 07031, Peru"
"PM-03","","Ignition On","-12.029750 / -77.119026","Saturday, September 27 2025, 04:54:32 pm","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Ignition Off","-12.029750 / -77.119026","Friday, September 26 2025, 09:32:59 am","","Vía Sin Nombre, Callao 07031, Peru"
"PM-03","","Travel Stop","-12.029750 / -77.119026","Friday, September 26 2025, 09:32:58 am","","Vía Sin Nombre, Callao 07031, Peru"
