Reporte Selectivo de Eventos;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;Desde:;;1/06/2025 12:00:00 a. m.;;;Hasta:;;10/06/2025 11:59:59 p. m.;;;;
;;;;;;;;;;;;;;
Unidad: LZM117;;;;;;;;;;;;;;
Fecha;Hora;Evento;;Status;;Dirección;;;;;Estado;;CP;
1/06/2025;00:47:05 AM;Desplazándose - Ign. apagada;;34 kph / W;;Cl. 60a Sur #7376 #73- a, Bogotá, Colombia;;;;;Bogotá;;111921;
1/06/2025;00:49:04 AM;Desplazándose - Ign. apagada;;14 kph / N;;Dg57zs 75-34, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;00:49:06 AM;Desplazándose - Ign. apagada;;18 kph / N;;Dg57zs 74i-61, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;01:16:38 AM;Desplazándose - Ign. apagada;;0 kph / N;;Av Autosur 77, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;01:16:41 AM;Desplazándose - Ign. apagada;;14 kph / NE;;Av Autosur 77, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;01:33:38 AM;Desplazándose - Ign. apagada;;13 kph / W;;Cl57bs 63-25, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;01:38:45 AM;Desplazándose - Ign. apagada;;13 kph / W;;Cl57bs 63-25, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;01:38:55 AM;Desplazándose - Ign. apagada;;2 kph / W;;Cl. 42G Sur #78-32, Bogotá, Colombia;;;;;Bogotá;;110841;
1/06/2025;01:43:52 AM;Desplazándose - Ign. apagada;;0 kph / W;;Cl42fs 78c-34, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;01:48:37 AM;Desplazándose - Ign. apagada;;0 kph / W;;Cl42fs 78c-34, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;01:48:46 AM;Desplazándose - Ign. apagada;;42 kph / N;;Calle 42S # 78H-2 a 78H-100, Bogotá, Cundinamarca, Colombia;;;;;Cundinamar;;;
1/06/2025;01:54:15 AM;Desplazándose - Ign. apagada;;51 kph / NE;;Kr80 20-58, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;01:54:20 AM;Desplazándose - Ign. apagada;;42 kph / NE;;Kr80 20-77, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;01:58:24 AM;Desplazándose - Ign. apagada;;42 kph / NE;;Kr80 20-77, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;01:58:34 AM;Desplazándose - Ign. apagada;;66 kph / NE;;Av Ciudad De Cali 14-41, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:04:41 AM;Desplazándose - Ign. apagada;;79 kph / NW;;Cl26-69, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:04:43 AM;Desplazándose - Ign. apagada;;80 kph / NW;;Entrada A La Cl26-54, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:12:15 AM;Desplazándose - Ign. apagada;;80 kph / NW;;Entrada A La Cl26-54, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:12:25 AM;Desplazándose - Ign. apagada;;74 kph / SE;;Cl26, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:15:08 AM;Desplazándose - Ign. apagada;;72 kph / SW;;Av Boyaca 21-86, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:15:12 AM;Desplazándose - Ign. apagada;;60 kph / SW;;Av Boyaca-39, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:24:19 AM;Desplazándose - Ign. apagada;;60 kph / SW;;Av Boyaca-39, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:24:50 AM;Desplazándose - Ign. apagada;;80 kph / S;;Av Boyaca 56as-66, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:25:36 AM;Desplazándose - Ign. apagada;;0 kph / S;;Kr51-22, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:36:01 AM;Desplazándose - Ign. apagada;;0 kph / S;;Kr51-34, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:36:18 AM;Desplazándose - Ign. apagada;;13 kph / SE;;Carrera 22 # 60S-1 a 60S-99, Bogotá, Cundinamarca, Colombia;;;;;Cundinamar;;;
1/06/2025;02:43:21 AM;Desplazándose - Ign. apagada;;13 kph / SE;;Carrera 22 # 60S-1 a 60S-99, Bogotá, Cundinamarca, Colombia;;;;;Cundinamar;;;
1/06/2025;02:43:38 AM;Desplazándose - Ign. apagada;;13 kph / SE;;Carrera 22 # 60S-1 a 60S-99, Bogotá, Cundinamarca, Colombia;;;;;Cundinamar;;;
1/06/2025;02:46:28 AM;Desplazándose - Ign. apagada;;23 kph / NW;;40, Bogotá, Colombia;;;;;Bogotá;;110621;
1/06/2025;02:46:32 AM;Desplazándose - Ign. apagada;;23 kph / NW;;Boyacá, Bogotá Distrito Capital, Cundinamarca, Colombia;;;;;Cundinamar;;;
1/06/2025;02:56:28 AM;Desplazándose - Ign. apagada;;23 kph / NW;;Boyacá, Bogotá Distrito Capital, Cundinamarca, Colombia;;;;;Cundinamar;;;
1/06/2025;02:56:34 AM;Desplazándose - Ign. apagada;;100 kph / NE;;Av Boyaca 21-71, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:56:55 AM;Desplazándose - Ign. apagada;;92 kph / NE;;Av Boyaca 23-61, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;02:56:59 AM;Desplazándose - Ign. apagada;;93 kph / NE;;Av Boyaca 23c-56, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:06:28 AM;Desplazándose - Ign. apagada;;93 kph / NE;;Av Boyaca 23c-56, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:06:38 AM;Desplazándose - Ign. apagada;;87 kph / SE;;Cl26, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:07:23 AM;Desplazándose - Ign. apagada;;13 kph / SE;;Cl26-66, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:07:26 AM;Desplazándose - Ign. apagada;;24 kph / SE;;Cl26-51, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:17:56 AM;Desplazándose - Ign. apagada;;35 kph / S;;Av Boyaca 45as-33, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:17:58 AM;Desplazándose - Ign. apagada;;35 kph / S;;Av Boyaca 45as-9, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:28:14 AM;Desplazándose - Ign. apagada;;21 kph / E;;Cl58as 49a-52, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:28:19 AM;Desplazándose - Ign. apagada;;32 kph / E;;Cl58as 49a-49, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:35:03 AM;Desplazándose - Ign. apagada;;32 kph / E;;Cl58as 49a-49, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:35:38 AM;Desplazándose - Ign. apagada;;58 kph / N;;Av. Boyacá #36 Sur-2 a 36 Sur-98, Bogotá, Bogotá, Colombia;;;;;Bogotá;;110841;
1/06/2025;03:38:42 AM;Desplazándose - Ign. apagada;;60 kph / N;;Av Boyaca 8, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;03:38:44 AM;Desplazándose - Ign. apagada;;58 kph / N;;Av Boyaca 8a, Bogota, Cundinamarca, Colombia;;;;;;;;
1/06/2025;03:50:33 AM;Desplazándose - Ign. apagada;;0 kph / N;;Cra. 71 #19-1 a 19-99, Bogotá, Bogotá, Colombia;;;;;Bogotá;;110931;
1/06/2025;03:50:43 AM;Desplazándose - Ign. apagada;;50 kph / NW;;Cl26-21, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;04:22:28 AM;Desplazándose - Ign. apagada;;13 kph / NW;;Cl26-24, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;04:22:38 AM;Desplazándose - Ign. apagada;;58 kph / SE;;Cl26-49, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;04:29:45 AM;Desplazándose - Ign. apagada;;43 kph / SW;;Av Ciudad De Cali-28, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;04:29:53 AM;Desplazándose - Ign. apagada;;58 kph / SW;;Av Ciudad De Cali 6a-7, Bogota, Cundinamarca, COLOMBIA;;;;;;;;
1/06/2025;04:35:10 AM;Desplazándose - Ign. apagada;;58 kph / SW;;Av Ciudad De Cali 6a-7, Bogota, Cundinamarca, COLOMBIA;;;;;;;;
1/06/2025;04:35:19 AM;Desplazándose - Ign. apagada;;63 kph / SW;;Av Ciudad De Cali 6a-7, Bogota, Cundinamarca, COLOMBIA;;;;;;;;
1/06/2025;04:40:08 AM;Desplazándose - Ign. apagada;;31 kph / SW;;Kr80 55s-73, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;04:40:10 AM;Desplazándose - Ign. apagada;;34 kph / SW;;Cl56s 80-14, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;04:50:35 AM;Desplazándose - Ign. apagada;;21 kph / E;;Cl46s 80g-57, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;04:50:38 AM;Desplazándose - Ign. apagada;;29 kph / SE;;Cl46s 80-88, Bogota, Cundinamarca, Colombia;;;;;;;;
1/06/2025;04:57:54 AM;Desplazándose - Ign. apagada;;29 kph / SE;;Cl46s 80-88, Bogota, Cundinamarca, Colombia;;;;;;;;
1/06/2025;04:58:03 AM;Desplazándose - Ign. apagada;;45 kph / NE;;Kr80 20-51, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;05:01:00 AM;Desplazándose - Ign. apagada;;69 kph / NE;;Av Ciudad De Cali 80-77, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;05:01:05 AM;Desplazándose - Ign. apagada;;58 kph / NE;;Av Ciudad De Cali 80-80, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;05:05:50 AM;Desplazándose - Ign. apagada;;58 kph / NE;;Av Ciudad De Cali 80-80, Bogota, Cundinamarca;;;;;Cun;;;
1/06/2025;05:05:59 AM;Desplazándose - Ign. apagada;;63 kph / NE;;Av Ciudad De Cali-84, Bogota, Cundinamarca;;;;;Cun;;;
